Field Category/String,Field Title,Admin Roles,Content Roles,End Users,From Mukurtu
user.mail:register_pending_approval:subjectAccount details for [user:display-name] at [site:name] (pending admin approval),Account details for [user:display-name] at [site:name] (pending admin approval),x,x,x,
"user.mail:register_pending_approval:body[user:display-name],

Thank you for registering at [site:name]. Your application for an account is currently pending approval. Once it has been approved, you will receive another email containing information about how to log in, set your password, and other details.

-- [site:name] team","[user:display-name],

Thank you for registering at [site:name]. Your application for an account is currently pending approval. Once it has been approved, you will receive another email containing information about how to log in, set your password, and other details.

-- [site:name] team",x,x,x,
user.mail:register_pending_approval_admin:subjectAccount details for [user:display-name] at [site:name] (pending admin approval),Account details for [user:display-name] at [site:name] (pending admin approval),x,x,x,
"user.mail:register_pending_approval_admin:body[user:display-name] has applied for an account.

[user:edit-url]","[user:display-name] has applied for an account.

[user:edit-url]",x,x,x,
user.mail:status_activated:subjectAccount details for [user:display-name] at [site:name] (approved),Account details for [user:display-name] at [site:name] (approved),x,x,x,
"user.mail:status_activated:body[user:display-name],

Your account at [site:name] has been activated.

You may now log in by clicking this link or copying and pasting it into your browser:

[user:one-time-login-url]

This link can only be used once to log in and will lead you to a page where you can set your password.

After setting your password, you will be able to log in at [site:login-url] in the future using:

username: [user:account-name]
password: Your password

-- [site:name] team","[user:display-name],

Your account at [site:name] has been activated.

You may now log in by clicking this link or copying and pasting it into your browser:

[user:one-time-login-url]

This link can only be used once to log in and will lead you to a page where you can set your password.

After setting your password, you will be able to log in at [site:login-url] in the future using:

username: [user:account-name]
password: Your password

-- [site:name] team",x,x,x,
user.mail:status_blocked:subjectAccount details for [user:display-name] at [site:name] (blocked),Account details for [user:display-name] at [site:name] (blocked),x,x,x,
"user.mail:status_blocked:body[user:display-name],

Your account on [site:name] has been blocked.

-- [site:name] team","[user:display-name],

Your account on [site:name] has been blocked.

-- [site:name] team",x,x,x,
user.mail:status_canceled:subjectAccount details for [user:display-name] at [site:name] (canceled),Account details for [user:display-name] at [site:name] (canceled),x,x,x,
"user.mail:status_canceled:body[user:display-name],

Your account on [site:name] has been canceled.

-- [site:name] team","[user:display-name],

Your account on [site:name] has been canceled.

-- [site:name] team",x,x,x,
user.role.administrator:labelAdministrator,Administrator,x,,,
user.role.anonymous:labelVisitor,Visitor,x,x,x,
user.role.authenticated:labelAuthenticated user,Authenticated user,x,x,x,
user.role.mukurtu_manager:labelMukurtu Manager,Mukurtu Manager,x,,,
user.settings:anonymousAnonymous,Anonymous,x,x,x,
views.view.archive:labelArchive,Archive,x,,,
"views.view.archive:descriptionAll content, by month.","All content, by month.",x,,,
views.view.archive:display:default:display_titleDefault,Default,x,,,
views.view.archive:display:default:display_options:titleMonthly archive,Monthly archive,x,,,
views.view.archive:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,,,
views.view.archive:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,,,
views.view.archive:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,x,,,
views.view.archive:display:default:display_options:exposed_form:options:submit_buttonApply,Apply,x,,,
views.view.archive:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,,,
views.view.archive:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,,,
views.view.archive:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,x,,,
views.view.archive:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,x,,,
views.view.archive:display:default:display_options:arguments:created_year_month:title{{ arguments.created_year_month }},{{ arguments.created_year_month }},x,,,
views.view.archive:display:block_1:display_titleBlock,Block,x,,,
views.view.archive:display:block_1:display_options:arguments:created_year_month:title{{ arguments.created_year_month }},{{ arguments.created_year_month }},x,,,
views.view.archive:display:page_1:display_titlePage,Page,x,,,
views.view.block_content:labelContent blocks,Content blocks,x,,,
views.view.block_content:descriptionFind and manage content blocks.,Find and manage content blocks.,x,,,
views.view.block_content:display:default:display_titleDefault,Default,x,,,
views.view.block_content:display:default:display_options:titleContent blocks,Content blocks,x,,,
views.view.block_content:display:default:display_options:fields:info:labelBlock description,Block description,x,,,
views.view.block_content:display:default:display_options:fields:type:labelBlock type,Block type,x,,,
views.view.block_content:display:default:display_options:fields:changed:labelUpdated,Updated,x,,,
views.view.block_content:display:default:display_options:fields:operations:labelOperations,Operations,x,,,
views.view.block_content:display:default:display_options:pager:options:tags:nextNext ›,Next ›,x,,,
views.view.block_content:display:default:display_options:pager:options:tags:previous‹ Previous,‹ Previous,x,,,
views.view.block_content:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,,,
views.view.block_content:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,,,
views.view.block_content:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,x,,,
views.view.block_content:display:default:display_options:exposed_form:options:submit_buttonApply,Apply,x,,,
views.view.block_content:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,,,
views.view.block_content:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,,,
views.view.block_content:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.block_content:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.block_content:display:default:display_options:empty:area_text_custom:contentThere are no content blocks available.,There are no content blocks available.,x,,,
views.view.block_content:display:default:display_options:filters:info:expose:labelBlock description,Block description,x,,,
views.view.block_content:display:default:display_options:filters:type:expose:labelBlock type,Block type,x,,,
views.view.block_content:display:page_1:display_titlePage,Page,x,,,
views.view.block_content:display:page_1:display_options:menu:titleBlocks,Blocks,x,,,
views.view.block_content:display:page_1:display_options:menu:descriptionCreate and edit content blocks.,Create and edit content blocks.,x,,,
views.view.browse_by_community:labelBrowse by Community,Browse by Community,x,,,
views.view.browse_by_community:display:default:display_titleDefault,Default,,,,
views.view.browse_by_community:display:default:display_options:titleBrowse by Community,Browse by Community,x,x,x,
views.view.browse_by_community:display:default:display_options:pager:options:tags:nextNext ›,Next ›,x,x,x,
views.view.browse_by_community:display:default:display_options:pager:options:tags:previous‹ Previous,‹ Previous,x,x,x,
views.view.browse_by_community:display:default:display_options:pager:options:tags:first« First,« First,x,x,x,
views.view.browse_by_community:display:default:display_options:pager:options:tags:lastLast »,Last »,x,x,x,
views.view.browse_by_community:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,x,x,
views.view.browse_by_community:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,x,x,
views.view.browse_by_community:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.browse_by_community:display:default:display_options:exposed_form:options:submit_buttonApply,Apply,,,,
views.view.browse_by_community:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,,,,
views.view.browse_by_community:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,,,,
views.view.browse_by_community:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.browse_by_community:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.browse_by_community:display:community_browse_block:display_titleBlock,Block,x,x,x,
views.view.comment:labelComments,Comments,x,x,x,
views.view.comment:descriptionFind and manage comments.,Find and manage comments.,x,x,,
views.view.comment:display:default:display_titleDefault,Default,x,x,,
views.view.comment:display:default:display_options:titleComments,Comments,x,x,x,
views.view.comment:display:default:display_options:fields:comment_bulk_form:action_titleAction,Action,,,,
views.view.comment:display:default:display_options:fields:subject:labelSubject,Subject,x,x,x,
views.view.comment:display:default:display_options:fields:name:labelAuthor,Author,x,x,x,
views.view.comment:display:default:display_options:fields:entity_id:labelPosted in,Posted in,x,x,,
views.view.comment:display:default:display_options:fields:changed:labelUpdated,Updated,x,x,,
views.view.comment:display:default:display_options:fields:operations:labelOperations,Operations,,,,
views.view.comment:display:default:display_options:pager:options:tags:nextnext ›,next ›,x,x,x,
views.view.comment:display:default:display_options:pager:options:tags:previous‹ previous,‹ previous,x,x,x,
views.view.comment:display:default:display_options:pager:options:tags:first« first,« first,x,x,x,
views.view.comment:display:default:display_options:pager:options:tags:lastlast »,last »,x,x,x,
views.view.comment:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,x,x,
views.view.comment:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,x,x,
views.view.comment:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.comment:display:default:display_options:exposed_form:options:submit_buttonFilter,Filter,x,x,x,
views.view.comment:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,x,x,
views.view.comment:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,x,x,
views.view.comment:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.comment:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.comment:display:default:display_options:empty:area_text_custom:contentNo comments available.,No comments available.,x,x,x,
views.view.comment:display:default:display_options:filters:subject:expose:labelSubject,Subject,x,x,x,
views.view.comment:display:default:display_options:filters:combine:expose:labelAuthor name,Author name,x,x,x,
views.view.comment:display:default:display_options:filters:langcode:expose:labelLanguage,Language,x,x,,
views.view.comment:display:default:display_options:use_more_textmore,more,x,x,,
views.view.comment:display:page_published:display_titlePublished comments,Published comments,x,x,,
views.view.comment:display:page_published:display_options:display_descriptionThe approved comments listing.,The approved comments listing.,x,x,,
views.view.comment:display:page_published:display_options:menu:titleComments,Comments,x,x,x,
views.view.comment:display:page_published:display_options:menu:descriptionComments published,Comments published,x,x,x,
views.view.comment:display:page_unapproved:display_titleUnapproved comments,Unapproved comments,x,x,x,
views.view.comment:display:page_unapproved:display_options:fields:comment_bulk_form:action_titleAction,Action,,,,
views.view.comment:display:page_unapproved:display_options:fields:subject:labelSubject,Subject,x,x,,
views.view.comment:display:page_unapproved:display_options:fields:name:labelAuthor,Author,x,x,,
views.view.comment:display:page_unapproved:display_options:fields:entity_id:labelPosted in,Posted in,x,x,,
views.view.comment:display:page_unapproved:display_options:fields:changed:labelUpdated,Updated,x,x,,
views.view.comment:display:page_unapproved:display_options:fields:operations:labelOperations,Operations,,,,
views.view.comment:display:page_unapproved:display_options:filters:subject:expose:labelSubject,Subject,x,x,,
views.view.comment:display:page_unapproved:display_options:filters:combine:expose:labelAuthor Name,Author Name,x,x,,
views.view.comment:display:page_unapproved:display_options:filters:langcode:expose:labelLanguage,Language,x,x,,
views.view.comment:display:page_unapproved:display_options:display_descriptionThe unapproved comments listing.,The unapproved comments listing.,x,x,,
views.view.comment:display:page_unapproved:display_options:menu:titleUnapproved comments,Unapproved comments,x,x,,
views.view.comment:display:page_unapproved:display_options:menu:descriptionComments unapproved,Comments unapproved,x,x,,
views.view.comments_recent:labelRecent comments,Recent comments,x,x,x,
views.view.comments_recent:descriptionRecent comments.,Recent comments.,x,x,x,
views.view.comments_recent:display:default:display_titleDefault,Default,x,x,,
views.view.comments_recent:display:default:display_options:titleRecent comments,Recent comments,x,x,,
views.view.comments_recent:display:default:display_options:fields:changed:settings:future_format@interval hence,@interval hence,,,,
views.view.comments_recent:display:default:display_options:fields:changed:settings:past_format@interval ago,@interval ago,,,,
views.view.comments_recent:display:default:display_options:empty:area_text_custom:contentNo comments available.,No comments available.,x,x,x,
views.view.comments_recent:display:block_1:display_titleBlock,Block,x,,,
views.view.comments_recent:display:block_1:display_options:block_descriptionRecent comments,Recent comments,x,x,x,
views.view.comments_recent:display:block_1:display_options:block_categoryLists (Views),Lists (Views),x,,,
views.view.content:labelContent,Content,x,x,,
views.view.content:descriptionFind and manage content.,Find and manage content.,x,x,,
views.view.content:display:default:display_titleDefault,Default,x,x,,
views.view.content:display:default:display_options:titleContent,Content,x,x,,
views.view.content:display:default:display_options:fields:title:labelTitle,Title,x,x,x,
views.view.content:display:default:display_options:fields:type:labelContent type,Content type,x,x,,
views.view.content:display:default:display_options:fields:name:labelAuthor,Author,x,x,,
views.view.content:display:default:display_options:fields:status:labelStatus,Status,x,x,,
views.view.content:display:default:display_options:fields:status:settings:format_custom_falseUnpublished,Unpublished,x,x,,
views.view.content:display:default:display_options:fields:status:settings:format_custom_truePublished,Published,x,x,,
views.view.content:display:default:display_options:fields:changed:labelUpdated,Updated,x,x,,
views.view.content:display:default:display_options:fields:langcode:labelLanguage,Language,x,x,,
views.view.content:display:default:display_options:fields:operations:labelOperations,Operations,x,x,,
views.view.content:display:default:display_options:pager:options:tags:nextNext ›,Next ›,x,x,x,
views.view.content:display:default:display_options:pager:options:tags:previous‹ Previous,‹ Previous,x,x,x,
views.view.content:display:default:display_options:pager:options:tags:first« First,« First,x,x,x,
views.view.content:display:default:display_options:pager:options:tags:lastLast »,Last »,x,x,x,
views.view.content:display:default:display_options:exposed_form:options:submit_buttonFilter,Filter,x,x,x,
views.view.content:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,x,x,
views.view.content:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,x,x,
views.view.content:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.content:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.content:display:default:display_options:empty:area_text_custom:contentNo content available.,No content available.,x,x,x,
views.view.content:display:default:display_options:filters:title:expose:labelTitle,Title,x,x,x,
views.view.content:display:default:display_options:filters:type:expose:labelContent type,Content type,x,x,,
views.view.content:display:default:display_options:filters:status:expose:labelStatus,Status,x,x,x,
views.view.content:display:default:display_options:filters:status:group_info:labelPublished status,Published status,x,x,,
views.view.content:display:default:display_options:filters:status:group_info:group_items:1:titlePublished,Published,x,x,,
views.view.content:display:default:display_options:filters:status:group_info:group_items:2:titleUnpublished,Unpublished,x,x,,
views.view.content:display:default:display_options:filters:langcode:expose:labelLanguage,Language,x,x,x,
views.view.content:display:page_1:display_titlePage,Page,x,x,x,
views.view.content:display:page_1:display_options:menu:titleContent,Content,x,x,x,
views.view.content:display:page_1:display_options:tab_options:titleContent,Content,x,x,x,
views.view.content:display:page_1:display_options:tab_options:descriptionFind and manage content,Find and manage content,x,x,,
views.view.content_recent:labelRecent content,Recent content,x,x,x,
views.view.content_recent:descriptionRecent content.,Recent content.,x,x,x,
views.view.content_recent:display:default:display_titleDefault,Default,x,x,,
views.view.content_recent:display:default:display_options:titleRecent content,Recent content,x,x,x,
views.view.content_recent:display:default:display_options:exposed_form:options:submit_buttonApply,Apply,x,x,,
views.view.content_recent:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,x,,
views.view.content_recent:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,x,,
views.view.content_recent:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.content_recent:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.content_recent:display:default:display_options:empty:area_text_custom:contentNo content available.,No content available.,x,x,x,
views.view.content_recent:display:default:display_options:use_more_textMore,More,x,x,x,
views.view.content_recent:display:block_1:display_titleBlock,Block,x,,,
views.view.export_list_content:labelExport List: Content,Export List: Content,x,x,,
views.view.export_list_content:display:default:display_titleDefault,Default,,,,
views.view.export_list_content:display:default:display_options:titleContent Selected for Export,Content Selected for Export,x,x,,
views.view.export_list_content:display:default:display_options:fields:views_bulk_operations_bulk_form:labelViews bulk operations,Views bulk operations,x,,,
views.view.export_list_content:display:default:display_options:fields:views_bulk_operations_bulk_form:selected_actions:0:preconfiguration:label_overrideRemove,Remove,x,,,
views.view.export_list_content:display:default:display_options:fields:title:labelTitle,Title,x,x,x,
views.view.export_list_content:display:default:display_options:fields:field_content_type:labelContent Type,Content Type,x,x,,
views.view.export_list_content:display:default:display_options:fields:entity_uid:labelAuthored by,Authored by,x,x,,
views.view.export_list_content:display:default:display_options:pager:options:tags:nextNext ›,Next ›,x,x,,
views.view.export_list_content:display:default:display_options:pager:options:tags:previous‹ Previous,‹ Previous,x,x,,
views.view.export_list_content:display:default:display_options:pager:options:tags:first« First,« First,x,x,,
views.view.export_list_content:display:default:display_options:pager:options:tags:lastLast »,Last »,x,x,,
views.view.export_list_content:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,x,,
views.view.export_list_content:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,x,,
views.view.export_list_content:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.export_list_content:display:default:display_options:exposed_form:options:submit_buttonSearch,Search,x,x,x,
views.view.export_list_content:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,,,,
views.view.export_list_content:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,x,x,
views.view.export_list_content:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.export_list_content:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.export_list_content:display:default:display_options:arguments:uid:exception:titleAll,All,x,x,x,
views.view.export_list_content:display:default:display_options:filters:search_api_fulltext:expose:labelSearch,Search,x,x,x,
"views.view.export_list_content:display:default:display_options:footer:area:content:value<a href=""/admin/export/content"">View Content Export List</a>","<a href=""/admin/export/content"">View Content Export List</a>",x,x,,
views.view.export_list_content:display:export_content_list_block:display_titleBlock,Block,,,,
views.view.export_list_content:display:export_content_list_block:display_options:fields:title:labelTitle,Title,x,x,,
views.view.export_list_content:display:export_content_list_block:display_options:fields:field_content_type:labelContent Type,Content Type,x,x,,
views.view.export_list_content:display:export_content_list_block:display_options:fields:entity_uid:labelAuthored by,Authored by,x,x,,
views.view.export_list_content:display:export_content_list_block:display_options:header:result:contentDisplaying @start - @end of @total content items selected for export.,Displaying @start - @end of @total content items selected for export.,x,x,,
"views.view.export_list_content:display:export_content_list_block:display_options:footer:area:content:value<a href=""/admin/export/content"">{{ 'View the full content export list'|t }}</a>","<a href=""/admin/export/content"">{{ 'View the full content export list'|t }}</a>",x,x,,
views.view.export_list_content:display:page:display_titlePage,Page,x,x,,
"views.view.export_list_content:display:page:display_options:header:area:content:value<a href=""/admin/export"">{{ 'Return to Export'|t }}</a>","<a href=""/admin/export"">{{ 'Return to Export'|t }}</a>",x,x,,
"views.view.export_list_content:display:page:display_options:footer:area:content:value<a href=""/admin/export"">{{ 'Return to Export'|t }}</a>","<a href=""/admin/export"">{{ 'Return to Export'|t }}</a>",x,x,,
views.view.export_list_media:labelExport List: Media,Export List: Media,x,x,,
views.view.export_list_media:display:default:display_titleDefault,Default,x,x,,
views.view.export_list_media:display:default:display_options:titleExport List: Media,Export List: Media,x,x,,
views.view.export_list_media:display:default:display_options:fields:name:labelName,Name,x,x,,
views.view.export_list_media:display:default:display_options:fields:type:labelMedia Type,Media Type,x,x,,
views.view.export_list_media:display:default:display_options:fields:entity_uid:labelAuthored by,Authored by,x,x,,
views.view.export_list_media:display:default:display_options:exposed_form:options:submit_buttonApply,Apply,x,x,,
views.view.export_list_media:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,x,,
views.view.export_list_media:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,x,,
views.view.export_list_media:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.export_list_media:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.export_list_media:display:default:display_options:arguments:uid:exception:titleAll,All,x,x,,
views.view.export_list_media:display:default:display_options:header:result:contentDisplaying @start - @end of @total media items selected for export.,Displaying @start - @end of @total media items selected for export.,x,x,,
"views.view.export_list_media:display:default:display_options:footer:area:content:value<a href=""/admin/export/media"">{{ 'View the full media export list'|t }}</a>","<a href=""/admin/export/media"">{{ 'View the full media export list'|t }}</a>",x,x,,
views.view.export_list_media:display:export_media_list_block:display_titleBlock,Block,x,x,,
views.view.export_list_media:display:page:display_titlePage,Page,x,x,,
views.view.export_list_media:display:page:display_options:fields:views_bulk_operations_bulk_form:labelViews bulk operations,Views bulk operations,x,x,,
views.view.export_list_media:display:page:display_options:fields:views_bulk_operations_bulk_form:selected_actions:0:preconfiguration:label_overrideRemove,Remove,x,x,,
views.view.export_list_media:display:page:display_options:fields:name:labelName,Name,x,x,,
views.view.export_list_media:display:page:display_options:fields:type:labelMedia Type,Media Type,x,x,,
views.view.export_list_media:display:page:display_options:fields:entity_uid:labelAuthored by,Authored by,x,x,,
views.view.export_list_media:display:page:display_options:pager:options:tags:nextNext ›,Next ›,x,x,,
views.view.export_list_media:display:page:display_options:pager:options:tags:previous‹ Previous,‹ Previous,x,x,,
views.view.export_list_media:display:page:display_options:pager:options:tags:first« First,« First,x,x,,
views.view.export_list_media:display:page:display_options:pager:options:tags:lastLast »,Last »,x,x,,
views.view.export_list_media:display:page:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,x,,
views.view.export_list_media:display:page:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,x,,
views.view.export_list_media:display:page:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.export_list_media:display:page:display_options:filters:search_api_fulltext:expose:labelSearch,Search,x,x,,
"views.view.export_list_media:display:page:display_options:header:area:content:value<a href=""/admin/export"">{{ 'Return to Export'|t }}</a>","<a href=""/admin/export"">{{ 'Return to Export'|t }}</a>",x,x,,
"views.view.export_list_media:display:page:display_options:footer:area:content:value<a href=""/admin/export"">{{ 'Return to Export'|t }}</a>","<a href=""/admin/export"">{{ 'Return to Export'|t }}</a>",x,x,,
views.view.files:labelFiles,Files,,,,
views.view.files:descriptionFind and manage files.,Find and manage files.,,,,
views.view.files:display:default:display_titleDefault,Default,,,,
views.view.files:display:default:display_options:titleFiles,Files,,,,
views.view.files:display:default:display_options:fields:fid:labelFid,Fid,,,,
views.view.files:display:default:display_options:fields:filename:labelName,Name,,,,
views.view.files:display:default:display_options:fields:filemime:labelMIME type,MIME type,,,,
views.view.files:display:default:display_options:fields:filesize:labelSize,Size,,,,
views.view.files:display:default:display_options:fields:status:labelStatus,Status,,,,
views.view.files:display:default:display_options:fields:status:settings:format_custom_falseTemporary,Temporary,,,,
views.view.files:display:default:display_options:fields:status:settings:format_custom_truePermanent,Permanent,,,,
views.view.files:display:default:display_options:fields:created:labelUpload date,Upload date,,,,
views.view.files:display:default:display_options:fields:changed:labelChanged date,Changed date,,,,
views.view.files:display:default:display_options:fields:count:labelUsed in,Used in,,,,
views.view.files:display:default:display_options:fields:count:alter:pathadmin/content/files/usage/{{ fid }},admin/content/files/usage/{{ fid }},,,,
views.view.files:display:default:display_options:fields:count:format_plural_string@count place\003@count places,@count place\003@count places,,,,
views.view.files:display:default:display_options:fields:operations:labelOperations,Operations,,,,
views.view.files:display:default:display_options:pager:options:tags:nextNext ›,Next ›,,,,
views.view.files:display:default:display_options:pager:options:tags:previous‹ Previous,‹ Previous,,,,
views.view.files:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,,,,
views.view.files:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,,,,
views.view.files:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.files:display:default:display_options:exposed_form:options:submit_buttonFilter,Filter,,,,
views.view.files:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,,,,
views.view.files:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,,,,
views.view.files:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.files:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
views.view.files:display:default:display_options:empty:area_text_custom:contentNo files available.,No files available.,,,,
views.view.files:display:default:display_options:filters:filename:expose:labelFilename,Filename,,,,
views.view.files:display:default:display_options:filters:filemime:expose:labelMIME type,MIME type,,,,
views.view.files:display:default:display_options:filters:status:expose:labelStatus,Status,,,,
views.view.files:display:page_1:display_titleFiles overview,Files overview,,,,
views.view.files:display:page_1:display_options:menu:titleFiles,Files,,,,
views.view.files:display:page_2:display_titleFile usage,File usage,,,,
views.view.files:display:page_2:display_options:titleFile usage,File usage,,,,
views.view.files:display:page_2:display_options:fields:entity_label:labelEntity,Entity,,,,
views.view.files:display:page_2:display_options:fields:type:labelEntity type,Entity type,,,,
views.view.files:display:page_2:display_options:fields:module:labelRegistering module,Registering module,,,,
views.view.files:display:page_2:display_options:fields:count:labelUse count,Use count,,,,
views.view.files:display:page_2:display_options:fields:count:format_plural_string1\003@count,1\003@count,,,,
views.view.files:display:page_2:display_options:pager:options:tags:nextNext ›,Next ›,,,,
views.view.files:display:page_2:display_options:pager:options:tags:previous‹ Previous,‹ Previous,,,,
views.view.files:display:page_2:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,,,,
views.view.files:display:page_2:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,,,,
views.view.files:display:page_2:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.files:display:page_2:display_options:arguments:fid:exception:titleAll,All,,,,
views.view.files:display:page_2:display_options:arguments:fid:titleFile usage information for {{ arguments.fid }},File usage information for {{ arguments.fid }},,,,
views.view.frontpage:labelFrontpage,Frontpage,x,,,
views.view.frontpage:descriptionAll content promoted to the front page.,All content promoted to the front page.,x,,,
views.view.frontpage:display:default:display_titleDefault,Default,x,x,x,
views.view.frontpage:display:default:display_options:pager:options:tags:nextNext ›,Next ›,x,x,x,
views.view.frontpage:display:default:display_options:pager:options:tags:previous‹ Previous,‹ Previous,x,x,x,
views.view.frontpage:display:default:display_options:pager:options:tags:first« First,« First,x,x,x,
views.view.frontpage:display:default:display_options:pager:options:tags:lastLast »,Last »,x,x,x,
views.view.frontpage:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,x,x,
views.view.frontpage:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,x,x,
views.view.frontpage:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,,,,
views.view.frontpage:display:default:display_options:exposed_form:options:submit_buttonApply,Apply,x,,,
views.view.frontpage:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,,,
views.view.frontpage:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,,,
views.view.frontpage:display:default:display_options:exposed_form:options:sort_asc_labelAsc,Asc,,,,
views.view.frontpage:display:default:display_options:exposed_form:options:sort_desc_labelDesc,Desc,,,,
"views.view.frontpage:display:default:display_options:empty:area_text_custom:contentNo front page content has been created yet.<br/>Follow the <a target=""_blank"" href=""https://www.drupal.org/docs/user_guide/en/index.html"">User Guide</a> to start building your site.","No front page content has been created yet.<br/>Follow the <a target=""_blank"" href=""https://www.drupal.org/docs/user_guide/en/index.html"">User Guide</a> to start building your site.",x,,,
views.view.frontpage:display:default:display_options:empty:title:titleWelcome!,Welcome!,x,x,x,
views.view.frontpage:display:feed_1:display_titleFeed,Feed,,,,
views.view.frontpage:display:page_1:display_titlePage,Page,x,x,,
views.view.glossary:labelGlossary,Glossary,x,x,x,
"views.view.glossary:descriptionAll content, by letter.","All content, by letter.",x,x,x,
views.view.glossary:display:default:display_titleDefault,Default,x,x,x,
views.view.glossary:display:default:display_options:fields:title:labelTitle,Title,x,x,x,
views.view.glossary:display:default:display_options:fields:name:labelAuthor,Author,x,x,,
views.view.glossary:display:default:display_options:fields:changed:labelLast update,Last update,x,x,,
views.view.glossary:display:default:display_options:pager:options:expose:items_per_page_labelItems per page,Items per page,x,x,,
views.view.glossary:display:default:display_options:pager:options:expose:items_per_page_options_all_label- All -,- All -,x,x,,
views.view.glossary:display:default:display_options:pager:options:expose:offset_labelOffset,Offset,x,x,,
views.view.glossary:display:default:display_options:exposed_form:options:submit_buttonApply,Apply,x,x,,
views.view.glossary:display:default:display_options:exposed_form:options:reset_button_labelReset,Reset,x,x,,
views.view.glossary:display:default:display_options:exposed_form:options:exposed_sorts_labelSort by,Sort by,x,x,,
