Field Category/String,Field Title,Admin Roles,Content Roles,End Users,From Mukurtu
"core.base_field_override.multipage_item.multipage_item.title:descriptionA short, descriptive name for the multipage item. The title should give users useful information about the item when browsing or searching. Maximum 255 characters. </br>The title will default to the title or name of the content used as the first page, but can be changed.","A short, descriptive name for the multipage item. The title should give users useful information about the item when browsing or searching. Maximum 255 characters. </br>The title will default to the title or name of the content used as the first page, but can be changed.",x,x,,
core.base_field_override.node.article.changed:labelChanged,Changed,x,x,,x
core.base_field_override.node.article.changed:descriptionThe time that the node was last edited.,The time that the node was last edited.,,,,
core.base_field_override.node.article.created:labelAuthored on,Authored on,x,x,,x
core.base_field_override.node.article.created:descriptionThe date and time that the content was created.,The date and time that the content was created.,x,x,,x
core.base_field_override.node.article.menu_link:labelMenu link,Menu link,x,x,,x
core.base_field_override.node.article.menu_link:descriptionComputed menu link for the node (only available during node saving).,Computed menu link for the node (only available during node saving).,x,,,x
core.base_field_override.node.article.path:labelURL alias,URL alias,,,,
core.base_field_override.node.article.promote:labelPromoted to front page,Promoted to front page,x,x,,x
core.base_field_override.node.article.promote:settings:on_labelOn,On,x,x,,x
core.base_field_override.node.article.promote:settings:off_labelOff,Off,x,x,,x
core.base_field_override.node.article.status:labelPublished,Published,x,x,,x
core.base_field_override.node.article.status:settings:on_labelOn,On,x,x,,x
core.base_field_override.node.article.status:settings:off_labelOff,Off,x,x,,x
core.base_field_override.node.article.sticky:labelSticky at top of lists,Sticky at top of lists,x,,,x
core.base_field_override.node.article.sticky:settings:on_labelOn,On,x,,,x
core.base_field_override.node.article.sticky:settings:off_labelOff,Off,x,,,x
core.base_field_override.node.article.title:labelTitle,Title,x,x,x,x
core.base_field_override.node.article.uid:labelAuthored by,Authored by,x,x,x,x
core.base_field_override.node.article.uid:descriptionThe username of the content author.,The username of the content author.,x,x,,x
core.base_field_override.node.collection.changed:labelChanged,Changed,x,x,,x
core.base_field_override.node.collection.changed:descriptionThe time that the node was last edited.,The time that the node was last edited.,x,x,,x
core.base_field_override.node.collection.created:labelAuthored on,Authored on,x,x,,x
core.base_field_override.node.collection.created:descriptionThe date and time that the content was created.,The date and time that the content was created.,x,x,,x
core.base_field_override.node.collection.draft:labelDraft,Draft,x,x,,x
core.base_field_override.node.collection.draft:descriptionMark this item as a draft.,Mark this item as a draft.,x,x,,x
core.base_field_override.node.collection.draft:settings:on_labelOn,On,x,x,,x
core.base_field_override.node.collection.draft:settings:off_labelOff,Off,x,x,x,x
core.base_field_override.node.collection.field_citation:labelCitation,Citation,x,x,,x
core.base_field_override.node.collection.field_citation:descriptionCitation for the item.,Citation for the item.,x,x,,x
core.base_field_override.node.collection.field_description:labelDescription,Description,x,x,x,x
"core.base_field_override.node.collection.field_description:descriptionThe history, story, explanation, provenance, arrangement information, or other description information about the collection. This is often based on existing collection descriptions and may include finding aids and other supplementary documentation. </br>This HTML field can support rich text and embedded media assets using the editing toolbar.","The history, story, explanation, provenance, arrangement information, or other description information about the collection. This is often based on existing collection descriptions and may include finding aids and other supplementary documentation. </br>This HTML field can support rich text and embedded media assets using the editing toolbar.",x,x,,x
core.base_field_override.node.collection.field_source:labelSource,Source,x,x,x,x
"core.base_field_override.node.collection.field_source:descriptionSource provides a reference to the organization or individual responsible for the holding, description, origination, or contribution of the collection. Examples include institutions (e.g.,: ""Library of Congress, American Folklife Center""), or donors (e.g.,: ""Donated by John Smith""). Maximum 255 characters.","Source provides a reference to the organization or individual responsible for the holding, description, origination, or contribution of the collection. Examples include institutions (e.g.,: ""Library of Congress, American Folklife Center""), or donors (e.g.,: ""Donated by John Smith""). Maximum 255 characters.",x,x,,x
core.base_field_override.node.collection.field_summary:labelSummary,Summary,x,x,x,x
core.base_field_override.node.collection.field_summary:descriptionA short summary of the collection. The summary should supplement the title. The summary is displayed as part of the collection preview when browsing the site. Maximum 255 characters.,A short summary of the collection. The summary should supplement the title. The summary is displayed as part of the collection preview when browsing the site. Maximum 255 characters.,x,x,,x
core.base_field_override.node.collection.menu_link:labelMenu link,Menu link,x,x,,x
core.base_field_override.node.collection.menu_link:descriptionComputed menu link for the node (only available during node saving).,Computed menu link for the node (only available during node saving).,x,x,,x
core.base_field_override.node.collection.path:labelURL alias,URL alias,x,x,,x
core.base_field_override.node.collection.promote:labelPromoted to front page,Promoted to front page,x,x,,x
core.base_field_override.node.collection.promote:settings:on_labelOn,On,x,x,,x
core.base_field_override.node.collection.promote:settings:off_labelOff,Off,x,x,,x
core.base_field_override.node.collection.status:labelPublished,Published,x,x,,x
core.base_field_override.node.collection.status:settings:on_labelOn,On,x,x,,x
core.base_field_override.node.collection.status:settings:off_labelOff,Off,x,x,,x
core.base_field_override.node.collection.sticky:labelSticky at top of lists,Sticky at top of lists,x,,,x
core.base_field_override.node.collection.sticky:settings:on_labelOn,On,x,x,,x
core.base_field_override.node.collection.sticky:settings:off_labelOff,Off,x,x,,x
core.base_field_override.node.collection.title:labelCollection name,Collection name,x,x,x,x
"core.base_field_override.node.collection.title:descriptionA short, descriptive name for the collection. The name should give users useful information about the collection when browsing or searching. Maximum 255 characters.","A short, descriptive name for the collection. The name should give users useful information about the collection when browsing or searching. Maximum 255 characters.",x,x,,x
core.base_field_override.node.collection.uid:labelAuthored by,Authored by,x,x,,x
core.base_field_override.node.collection.uid:descriptionThe username of the content author.,The username of the content author.,x,x,,x
core.base_field_override.node.dictionary_word.changed:labelChanged,Changed,x,x,,x
core.base_field_override.node.dictionary_word.changed:descriptionThe time that the node was last edited.,The time that the node was last edited.,x,x,,x
core.base_field_override.node.dictionary_word.created:labelAuthored on,Authored on,x,x,,x
core.base_field_override.node.dictionary_word.created:descriptionThe date and time that the content was created.,The date and time that the content was created.,x,x, ,x
core.base_field_override.node.dictionary_word.draft:labelDraft,Draft,x,x,,x
core.base_field_override.node.dictionary_word.draft:descriptionMark this item as a draft.,Mark this item as a draft.,x,x,,x
core.base_field_override.node.dictionary_word.draft:settings:on_labelOn,On,x,x,,x
core.base_field_override.node.dictionary_word.draft:settings:off_labelOff,Off,x,x,,x
core.base_field_override.node.dictionary_word.field_alternate_spelling:labelAlternate Spelling,Alternate Spelling,x,x,x,x
"core.base_field_override.node.dictionary_word.field_alternate_spelling:descriptionAn alternate spelling of the term. Examples include historic or current variant spellings, spellings from different dialects or in different writing systems, or any other alternate spelling that will help find the dictionary word when searching. </br>Maximum 255 characters.","An alternate spelling of the term. Examples include historic or current variant spellings, spellings from different dialects or in different writing systems, or any other alternate spelling that will help find the dictionary word when searching. </br>Maximum 255 characters.",x,x,,x
core.base_field_override.node.dictionary_word.field_cultural_protocols:labelCultural Protocols,Cultural Protocols,x,x,x,x
core.base_field_override.node.dictionary_word.field_definition:labelDefinition,Definition,x,x,x,x
core.base_field_override.node.dictionary_word.field_definition:descriptionA longer definition or description of the entry. </br>This HTML field can support rich text and embedded media assets using the editing toolbar.,A longer definition or description of the entry. </br>This HTML field can support rich text and embedded media assets using the editing toolbar.,x,x,,x
core.base_field_override.node.dictionary_word.field_dictionary_word_language:labelLanguage,Language,x,x,x,x
"core.base_field_override.node.dictionary_word.field_dictionary_word_language:descriptionEach dictionary word is associated with one language. </br>Select a language. If only one language is available, it will be be pre-selected. Dictionary languages must first be configured by a Mukurtu Manager.","Each dictionary word is associated with one language. </br>Select a language. If only one language is available, it will be be pre-selected. Dictionary languages must first be configured by a Mukurtu Manager.",x,x,,x
core.base_field_override.node.dictionary_word.field_keywords:labelKeywords,Keywords,x,x,x,x
"core.base_field_override.node.dictionary_word.field_keywords:descriptionKeywords are used to tag dictionary words to ensure that they are discoverable when searching or browsing. </br>As you type, existing keywords will be displayed. Select an existing keyword or enter a new one. To include additional keywords, select ""Add another item"".","Keywords are used to tag dictionary words to ensure that they are discoverable when searching or browsing. </br>As you type, existing keywords will be displayed. Select an existing keyword or enter a new one. To include additional keywords, select ""Add another item"".",x,x,,x
core.base_field_override.node.dictionary_word.field_pronunciation:labelPronunciation,Pronunciation,x,x,x,x
"core.base_field_override.node.dictionary_word.field_pronunciation:descriptionA pronunciation guide used to teach language learners the correct pronunciation of the entry. Pronunciation guides may use a standard phonetic alphabet or whatever notation system is used by speakers and teachers of the language, eg: indicating stress with bold text or capitalizing syllables. </br>This HTML field can support rich text and embedded media assets using the editing toolbar.","A pronunciation guide used to teach language learners the correct pronunciation of the entry. Pronunciation guides may use a standard phonetic alphabet or whatever notation system is used by speakers and teachers of the language, eg: indicating stress with bold text or capitalizing syllables. </br>This HTML field can support rich text and embedded media assets using the editing toolbar.",x,x,,x
core.base_field_override.node.dictionary_word.field_source:labelSource,Source,x,x,x,x
